0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234
США,Великобритания,Франция,Индия,Канада,Италия,Германия,Япония,Испания,Россия,Австралия,СССР,Мексика,Бразилия,Гонконг,Дания,Швеция,Аргентина,Турция,Нидерланды,Филиппины,Германия (ФРГ),Китай,Бельгия,Корея Южная,Польша,Венгрия,Австрия,Швейцария,Ирландия,Финляндия,Греция,Израиль,Норвегия,Чехословакия,Португалия,Тайвань,Иран,Югославия,ЮАР,Румыния,Чехия,Новая Зеландия,Болгария,Украина,Индонезия,Египет,Таиланд,Чили,Колумбия,Малайзия,Хорватия,Германия (ГДР),Пакистан,Куба,Бангладеш,Сербия,Эстония,Сингапур,Венесуэла,Исландия,Албания,Казахстан,Беларусь,Грузия,Латвия,Перу,Нигерия,Люксембург,Словения,Доминикана,Вьетнам,ОАЭ,Марокко,Литва,Ливан,Российская империя,Шри-Ланка,Пуэрто Рико,Армения,,Непал,Уругвай,Словакия,Босния и Герцеговина,Узбекистан,Тунис,Азербайджан,Эквадор,Алжир,Боливия,Македония,Кипр,Кения,Югославия (ФР),Коста-Рика,Камбоджа,Ирак,Панама,Сенегал,Катар,Сан-Марино,Монголия,Гватемала,Сирия,Киргизия,Афганистан,Уганда,Иордания,Мальта,Сербия и Черногория,Парагвай,Корея Северная,Палестина,Молдова,Саудовская Аравия,Косово,Гана,Буркина-Фасо,Камерун,Гаити,Ямайка,Черногория,Эфиопия,Зимбабве,Ангола,Мали,Багамы,Мьянма,Танзания,Корея,Кувейт,Макао,Оккупированная Палестинская территория,Лихтенштейн,Гондурас,Руанда,Таджикистан,Мозамбик,Гренландия,Сальвадор,Конго,Бахрейн,Никарагуа,Нигер,Андорра,Фарерские острова,Монако,Конго (ДРК),Вьетнам Северный,Намибия,Гвинея,Судан,Бутан,Мавритания,Северная Македония,Габон,Лаос,Бенин,Берег Слоновой кости,Гваделупа,Антильские Острова,Мартиника,Виргинские Острова (США),Фиджи,Мадагаскар,Гуам,Каймановы острова,Маврикий,Чад,Сьерра-Леоне,Замбия,Ливия,Барбадос,Бирма,Аруба,Папуа - Новая Гвинея,Белиз,Либерия,Туркменистан,Йемен,Суринам,Бермуды,Гвинея-Бисау,Кабо-Верде,Ботсвана,Лесото,Сомали,Французская Полинезия,Реюньон,Оман,Антигуа и Барбуда,Свазиленд,Гайана,Мальдивы,Антарктида,Тринидад и Тобаго,Ватикан,Бруней-Даруссалам,Самоа,Того,Кот-д’Ивуар,Новая Каледония,Заир,Тонга,Гибралтар,Малави,Западная Сахара,Бурунди,Гамбия,Тимор-Лесте,Доминика,ЦАР,Тувалу,Вануату,Острова Кука,Американское Самоа,Экваториальная Гвинея,Федеративные Штаты Микронезии,Кирибати,Сейшельские острова,Сент-Винсент и Гренадины,Эритрея,Гренада,Монтсеррат,Сент-Люсия,Внешние малые острова США,Сиам,Босния,Палау,Остров Мэн,Французская Гвиана,Маршалловы острова,Коморы,Джибути
273167,49837,39547,26316,26144,22778,21952,19112,16605,13465,11640,11313,10961,6760,6176,6112,6065,5742,5639,5355,5305,5037,4883,4783,4615,4366,4007,3529,3432,3209,3086,2836,2687,2601,2526,2405,2270,2238,1986,1871,1842,1818,1785,1684,1558,1389,1345,1256,1091,1023,909,861,861,838,835,796,784,715,621,613,586,579,509,504,497,490,486,477,463,462,461,438,432,427,426,406,397,393,389,386,377,354,346,340,302,288,277,250,222,216,201,197,184,179,173,171,154,153,149,145,136,136,129,127,121,121,117,117,117,116,110,110,109,103,100,99,93,87,81,77,63,57,54,54,54,54,53,49,49,48,48,44,44,41,40,39,39,37,35,35,34,34,33,33,30,29,28,28,28,28,25,25,24,24,22,22,22,21,21,21,19,19,19,18,18,18,16,16,16,16,16,15,15,14,14,14,13,13,13,12,12,12,12,11,10,10,10,9,9,9,9,9,8,7,7,7,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
